id;procedencia;id_at;designacion;ref;SAP;id_prod;medida;us_crea;date_crea;us_modif;date_modif
165;,;1;Columna tubular d=90mm2 e=4mm2 para soporte sobre viga longitudinal, tipo A, L=800mm2;J4255-S001-A;;4210;Ud;1;2015-05-12;0;0000-00-00
166;,;1;Columna tubular d=90mm2 e=4mm2 para soporte sobre viga longitudinal, tipo C, L=1000mm2;J4255-S001-C;;1328;Ud;1;2015-05-12;0;0000-00-00
167;,;1;Columna tubular d=90mm2 e=4mm2 para soporte sobre viga longitudinal, tipo D, L=1200mm2;J4255-S001-D;;4211;Ud;1;2015-05-12;0;0000-00-00
168;,;1;Columna tubular d=90mm2 e=4mm2 para soporte sobre viga longitudinal, tipo E, L=1550mm2;J4255-S001-E;;1329;Ud;1;2015-05-12;0;0000-00-00
169;,;1;Columna tubular d=90mm2 e=4mm2 para soporte sobre viga longitudinal, tipo F, L=1700mm2;J4255-S001-F;;1330;Ud;1;2015-05-12;0;0000-00-00
170;,;1;Columna tubular d=90mm2 e=4mm2 para soporte en techo de estación, tipo C, L=1150mm2;J4255-S002-C;;1320;Ud;1;2015-05-12;0;0000-00-00
171;,;1;Columna tubular d=90mm2 e=4mm2 para soporte en techo de estación, tipo D, L=1350mm2;J4255-S002-D;;4212;Ud;1;2015-05-12;0;0000-00-00
172;,;1;Columna tubular d=90mm2 e=4mm2 para soporte en techo de estación, tipo E, L=1550mm2;J4255-S002-E;;1321;Ud;1;2015-05-12;0;0000-00-00
173;,;1;Columna tubular d=90mm2 e=4mm2 para soporte en techo de estación, tipo F, L=1750mm2;J4255-S002-F;;1322;Ud;1;2015-05-12;0;0000-00-00
174;,;1;Columna tubular d=90mm2 e=4mm2 para soporte en techo de estación, tipo G, L=2000mm2;J4255-S002-G;;1323;Ud;1;2015-05-12;0;0000-00-00
175;,;1;Viga longitudinal para estación, 200x200, e=6mm2 L=10m;J4257-S001;;3277;Ud;1;2015-05-12;0;0000-00-00
176;,;1;Terminal tipo Upresa para cable de Al de 630mm2;SA343-41;;4213;Ud;1;2015-05-12;0;0000-00-00
177;,;1;Terminal Tipo Upresa para 4 cables de Cu de 150mm2;SPTC-4x70-153R;;1475;Ud;1;2015-05-12;0;0000-00-00
178;,;1;Terminal de cobre a compresión Cu150 d12;TC.150.12;;1459;Ud;1;2015-05-12;0;0000-00-00
179;,;1;Terminal de cobre a compresión Cu150 d16;TC.150.16;;4214;Ud;1;2015-05-12;0;0000-00-00
180;,;1;Grasa de Contacto (10 kg);1033199;;4215;Ud;1;2015-05-12;0;0000-00-00
181;,;1;Carril conductor de aluminio TIPO Metro 734 en rampa;CR-CAR-734ALR;;4864;Ud;1;2015-05-12;0;0000-00-00
182;,;1;Brida de conexión interior para catenaria rígida TIPO Metro 734;BR-CON-INT;;1284;Ud;1;2015-05-12;0;0000-00-00
183;,;1;Brida de conexión exterior para catenaria rígida TIPO Metro 734;BR-CON-EXT;;1283;Ud;1;2015-05-12;0;0000-00-00
184;,;1;TORNILLOS DINAMOMÉTRICOS CORTOS (CON ARANDELAS);TD-M12x20;;1498;Ud;1;2015-05-12;0;0000-00-00
185;,;1;TORNILLOS DINAMOMÉTRICOS LARGOS (CON ARANDELAS Y  TUERCAS);TD-M12x50;;1499;Ud;1;2015-05-12;0;0000-00-00
186;,;1;Conjunto anclaje fuerte 2 tirantes - 8m;552921;;1237;Ud;1;2015-05-12;0;0000-00-00
187;,;1;Brida de anclaje;552308;;4217;Ud;1;2015-05-12;0;0000-00-00
188;,;1;CABLES DE FEEDERS Y RETORNOS;RZ1-K 1*240 1.8/3 Kv;;3364;Mts;1;2015-05-12;0;0000-00-00
189;,;1;Equipo para corte y taladrado de carril conductor de aluminio TIPO Metro 734;;;5044;Ud;1;2015-05-12;0;0000-00-00
190;,;1;Carrito de montaje;;;5045;Ud;1;2015-05-12;0;0000-00-00
191;,;1;Matriz de prensado;8WL7152-3;;4851;Ud;1;2015-05-12;0;0000-00-00
192;,;1;Matriz de prensado;8WL7152-4;;4852;Ud;1;2015-05-12;0;0000-00-00
193;,;1;Matriz de prensado;8WL7153-8;;4853;Ud;1;2015-05-12;0;0000-00-00
194;,;1;Prensa manual;8WL7157-0;;4884;Ud;1;2015-05-12;0;0000-00-00
